,0,1,2,3,4
2006-12-04 00:00:00+00:00,0.034574516,0.8646557,0.033447698,0.033640202,0.03368194
2006-12-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-14 00:00:00+00:00,0.033501342,0.03347689,0.8662759,0.033405326,0.03334056
2006-12-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-26 00:00:00+00:00,0.033813953,0.034768246,0.03335542,0.03357548,0.86448693
2006-12-27 00:00:00+00:00,0.05118764,0.05064737,0.0500138,0.7977439,0.050407294
2006-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2006-12-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-18 00:00:00+00:00,0.033529915,0.033556614,0.03334204,0.03462152,0.86494994
2007-01-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-01-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2007-02-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
